capture,relative_seconds,default_flags_hex,session_flags_hex,notification_mode,pacer_mode,force_harvest,mindfulness_level,default_distraction,default_early_distraction,default_focus_slip,default_tense,default_fatigue,session_distraction,session_early_distraction,session_focus_slip,session_tense,session_fatigue
capture_01_ring_buffer.btsnoop,0.825386,0x00000450,0x00001010,0,0,0,3,1,0,1,0,0,1,1,0,0,0
capture_01_ring_buffer.btsnoop,2270.993041,0x00000450,0x00001010,0,0,0,3,1,0,1,0,0,1,1,0,0,0
capture_01_ring_buffer.btsnoop,3184.280549,0x00000450,0x00001010,1,0,0,3,1,0,1,0,0,1,1,0,0,0
capture_01_ring_buffer.btsnoop,3184.674284,0x00000450,0x00001010,1,0,0,3,1,0,1,0,0,1,1,0,0,0
capture_01_ring_buffer.btsnoop,3231.18101,0x00000450,0x00001000,1,0,0,3,1,0,1,0,0,0,1,0,0,0
capture_01_ring_buffer.btsnoop,3247.36945,0x00000450,0x00000000,1,0,0,3,1,0,1,0,0,0,0,0,0,0
capture_01_ring_buffer.btsnoop,3251.001511,0x00000450,0x00000440,1,0,0,3,1,0,1,0,0,0,0,1,0,0
capture_01_ring_buffer.btsnoop,3254.71928,0x00000450,0x000004c0,1,0,0,3,1,0,1,0,0,0,0,1,1,0
capture_01_ring_buffer.btsnoop,3258.482183,0x00000450,0x000006c0,1,0,0,3,1,0,1,0,0,0,0,1,1,1
capture_01_ring_buffer.btsnoop,3278.694297,0x00000450,0x00000280,1,0,0,3,1,0,1,0,0,0,0,0,1,1
capture_01_ring_buffer.btsnoop,3281.757986,0x00000450,0x00000200,1,0,0,3,1,0,1,0,0,0,0,0,0,1
capture_01_ring_buffer.btsnoop,3285.081781,0x00000450,0x00000000,1,0,0,3,1,0,1,0,0,0,0,0,0,0
capture_01_ring_buffer.btsnoop,3288.102982,0x00000450,0x00000010,1,0,0,3,1,0,1,0,0,1,0,0,0,0
capture_01_ring_buffer.btsnoop,3291.513782,0x00000450,0x00001010,1,0,0,3,1,0,1,0,0,1,1,0,0,0
capture_01_ring_buffer.btsnoop,3312.337564,0x00000450,0x00001010,1,0,0,3,1,0,1,0,0,1,1,0,0,0
capture_01_ring_buffer.btsnoop,3643.922714,0x00000450,0x00001010,0,0,1,3,1,0,1,0,0,1,1,0,0,0
capture_02_rotation_continuation.btsnoop,75.209774,0x00000450,0x00001010,0,0,0,3,1,0,1,0,0,1,1,0,0,0
