capture,relative_seconds,state,state_label,focus_depth,calm,signal,signal_quality,mp_score,tension_score,focus_ev,mp_s_bit,v_s,t_progress
capture_01_ring_buffer.btsnoop,0.558948,2,adapting,74,74,130,0,70,28,0,16,65,0
capture_01_ring_buffer.btsnoop,0.996516,2,adapting,74,74,130,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,1.302834,2,adapting,74,74,130,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,1.69663,2,adapting,74,74,127,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,2.002814,2,adapting,74,74,127,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,2.308973,2,adapting,74,74,127,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,2.659055,2,adapting,74,74,127,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,3.009041,2,adapting,74,74,127,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,3.35919,2,adapting,74,74,127,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,3.709522,2,adapting,74,74,127,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,4.015223,2,adapting,74,74,127,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,4.365288,2,adapting,74,74,127,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,4.75904,2,adapting,74,74,125,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,5.415454,2,adapting,74,74,125,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,5.765308,2,adapting,74,74,125,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,6.027995,2,adapting,74,74,125,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,6.378021,2,adapting,74,74,125,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,6.727937,2,adapting,74,74,125,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,7.034237,2,adapting,74,74,125,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,7.384163,2,adapting,74,74,125,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,7.77781,2,adapting,74,74,125,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,8.084013,2,adapting,74,74,125,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,8.390378,2,adapting,74,74,125,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,8.740333,2,adapting,74,74,125,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,9.090485,2,adapting,74,74,125,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,9.396539,2,adapting,74,74,125,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,9.834029,2,adapting,74,74,125,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,10.402895,2,adapting,74,74,125,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,10.796512,2,adapting,74,74,118,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,11.102943,2,adapting,74,74,118,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,11.452716,2,adapting,74,74,118,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,11.802814,2,adapting,74,74,107,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,12.108978,2,adapting,74,74,107,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,12.459049,2,adapting,74,74,107,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,12.852967,2,adapting,74,74,107,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,13.465224,2,adapting,74,74,107,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,13.815137,2,adapting,74,74,107,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,14.121644,2,adapting,74,74,107,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,14.471459,2,adapting,74,74,107,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,14.821586,2,adapting,74,74,107,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,15.127718,2,adapting,74,74,107,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,15.477923,2,adapting,74,74,107,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,15.871455,2,adapting,74,74,107,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,16.134073,2,adapting,74,74,107,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,16.484122,2,adapting,74,74,107,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,16.833869,2,adapting,74,74,107,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,17.183959,2,adapting,74,74,107,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,17.490141,2,adapting,74,74,107,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,17.88391,2,adapting,74,74,107,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,18.190367,2,adapting,74,74,107,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,18.496579,2,adapting,74,74,107,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,18.933962,2,adapting,74,74,107,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,19.502812,2,adapting,74,74,107,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,19.896378,2,adapting,74,74,107,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,20.202803,2,adapting,74,74,107,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,20.508894,2,adapting,74,74,107,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,20.858915,2,adapting,74,74,107,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,21.208931,2,adapting,74,74,107,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,21.515208,2,adapting,74,74,107,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,21.909123,2,adapting,74,74,107,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,22.259157,2,adapting,74,74,107,0,70,28,0,16,60,0
capture_01_ring_buffer.btsnoop,22.565188,2,adapting,74,74,107,0,70,28,0,16,60,0
